ID,XMIN,XMAX,YMIN,YMAX,MEANindex,MINindex,MAXindex,MEDindex,MEANLat,MINLat,MAXLat,MEDLat,MEANLon,MINLon,MAXLon,MEDLon,MEANSpd_km,MINSpd_kmh,MAXSpd_kmh,MEDSpd_kmh,MEANHeght_,MINHeght_m,MAXHeght_m,MEDHeght_m,MEANCo2_pp,MINCo2_ppm,MAXCo2_ppm,MEDCo2_ppm,COUNT
0,487405.364209,487655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
1,487655.364209,487905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
2,487905.364209,488155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
3,488155.364209,488405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
4,488405.364209,488655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
5,488655.364209,488905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
6,488905.364209,489155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
7,489155.364209,489405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
8,489405.364209,489655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
9,489655.364209,489905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
10,489905.364209,490155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
11,490155.364209,490405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
12,490405.364209,490655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
13,490655.364209,490905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
14,490905.364209,491155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
15,491155.364209,491405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
16,491405.364209,491655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
17,491655.364209,491905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
18,491905.364209,492155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
19,492155.364209,492405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
20,492405.364209,492655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
21,492655.364209,492905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
22,492905.364209,493155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
23,493155.364209,493405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
24,493405.364209,493655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
25,493655.364209,493905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
26,493905.364209,494155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
27,494155.364209,494405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
28,494405.364209,494655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
29,494655.364209,494905.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
30,494905.364209,495155.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
31,495155.364209,495405.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
32,495405.364209,495655.364209,5462281.70845,5462531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
33,487405.364209,487655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
34,487655.364209,487905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
35,487905.364209,488155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
36,488155.364209,488405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
37,488405.364209,488655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
38,488655.364209,488905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
39,488905.364209,489155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
40,489155.364209,489405.364209,5462031.70845,5462281.70845,47,31,63,47,49.311383030303041,49.310960000000001,49.31176,49.311399999999999,-123.14702515151517,-123.14816,-123.14588000000001,-123.14706,42.087541818181812,39.762440000000012,45.4666,42.2256,58.70000000000001,55.700000000000003,62.700000000000003,57.899999999999999,449.66854090909095,417.37594999999999,502.37182999999999,438.63524999999998,33
41,489405.364209,489655.364209,5462031.70845,5462281.70845,1836,0,3170,3133.5,49.312053513513504,49.310960000000001,49.312510000000003,49.312169999999995,-123.14372297297295,-123.14574,-123.14258,-123.14331,37.278257297297301,25.131640000000001,53.615400000000001,36.891840000000002,58.208108108108092,51.799999999999997,63.200000000000003,58.200000000000003,449.10855972972973,408.71075000000002,482.84708000000001,451.02285499999999,74
42,489655.364209,489905.364209,5462031.70845,5462281.70845,2989,2965,3013,2989,49.311507142857124,49.310989999999997,49.311839999999997,49.311579999999999,-123.14001979591835,-123.14054,-123.13936,-123.14005,32.262973877551033,21.42764,44.188720000000004,32.928559999999997,18.500000000000004,13.300000000000001,24.5,18.899999999999999,480.40204204081624,433.80034999999998,522.93628000000001,476.02676000000002,49
43,489905.364209,490155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
44,490155.364209,490405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
45,490405.364209,490655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
46,490655.364209,490905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
47,490905.364209,491155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
48,491155.364209,491405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
49,491405.364209,491655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
50,491655.364209,491905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
51,491905.364209,492155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
52,492155.364209,492405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
53,492405.364209,492655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
54,492655.364209,492905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
55,492905.364209,493155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
56,493155.364209,493405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
57,493405.364209,493655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
58,493655.364209,493905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
59,493905.364209,494155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
60,494155.364209,494405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
61,494405.364209,494655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
62,494655.364209,494905.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
63,494905.364209,495155.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
64,495155.364209,495405.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
65,495405.364209,495655.364209,5462031.70845,5462281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
66,487405.364209,487655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
67,487655.364209,487905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
68,487905.364209,488155.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
69,488155.364209,488405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
70,488405.364209,488655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
71,488655.364209,488905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
72,488905.364209,489155.364209,5461781.70845,5462031.70845,100,80,120,100,49.309530487804857,49.308759999999999,49.310499999999998,49.30939,-123.15041658536586,-123.15186,-123.14924000000001,-123.15026,49.845450731707309,39.669840000000001,57.782400000000003,47.57788,63.360975609756103,56.100000000000001,70.200000000000003,62,434.74448707317077,417.34652999999997,457.05248999999998,431.49349999999998,41
73,489155.364209,489405.364209,5461781.70845,5462031.70845,71,64,79,71.5,49.310726249999995,49.310560000000002,49.310890000000001,49.310720000000003,-123.14873750000001,-123.14912,-123.14831,-123.14875499999999,36.373280000000008,32.743360000000003,43.836840000000002,34.715739999999997,66.762500000000003,63.700000000000003,69.599999999999994,66.75,469.48393374999995,455.38434000000007,485.99615,468.93823499999996,16
74,489405.364209,489655.364209,5461781.70845,5462031.70845,3105,3083,3127,3105,49.309844444444451,49.308770000000003,49.310859999999998,49.30986,-123.14281755555557,-123.14321,-123.14242,-123.14291,40.16452977777778,32.706319999999998,45.670319999999997,40.892159999999997,48.735555555555571,44.299999999999997,51.799999999999997,49,460.88192288888888,439.50644000000005,493.13094999999998,458.58942000000002,45
75,489655.364209,489905.364209,5461781.70845,5462031.70845,3019,2956,3052,3028.5,49.310005624999995,49.308750000000003,49.310890000000001,49.310099999999998,-123.14052666666664,-123.14126,-123.13892,-123.14077,42.915469999999992,37.132599999999996,48.077919999999999,43.697940000000003,26.9375,10.699999999999999,37.799999999999997,29.300000000000001,475.95774458333335,448.87973,513.52295000000004,473.87470999999999,48
76,489905.364209,490155.364209,5461781.70845,5462031.70845,2933,2911,2955,2933,49.309805555555563,49.308709999999998,49.310510000000001,49.309959999999997,-123.13755911111109,-123.1388,-123.13658999999998,-123.13741,44.420014222222228,36.87332,52.4116,46.725960000000001,5.7711111111111082,3.5,10.699999999999999,4.9000000000000004,490.45033711111114,467.9278900000001,513.38549999999998,487.88385,45
77,490155.364209,490405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
78,490405.364209,490655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
79,490655.364209,490905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
80,490905.364209,491155.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
81,491155.364209,491405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
82,491405.364209,491655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
83,491655.364209,491905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
84,491905.364209,492155.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
85,492155.364209,492405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
86,492405.364209,492655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
87,492655.364209,492905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
88,492905.364209,493155.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
89,493155.364209,493405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
90,493405.364209,493655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
91,493655.364209,493905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
92,493905.364209,494155.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
93,494155.364209,494405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
94,494405.364209,494655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
95,494655.364209,494905.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
96,494905.364209,495155.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
97,495155.364209,495405.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
98,495405.364209,495655.364209,5461781.70845,5462031.70845,,,,,,,,,,,,,,,,,,,,,,,,,
99,487405.364209,487655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
100,487655.364209,487905.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
101,487905.364209,488155.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
102,488155.364209,488405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
103,488405.364209,488655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
104,488655.364209,488905.364209,5461531.70845,5461781.70845,148,129,167,148,49.307404871794866,49.306440000000002,49.308329999999998,49.307409999999997,-123.15351461538462,-123.15380999999999,-123.15279,-123.15358000000001,42.742260512820515,38.817920000000001,54.671040000000012,41.37368,48.715384615384615,45.899999999999999,51.299999999999997,48.399999999999999,429.68664820512828,412.05817000000002,471.91640999999998,422.89321999999999,39
105,488905.364209,489155.364209,5461531.70845,5461781.70845,124,121,128,124.5,49.308539999999994,49.308410000000002,49.308669999999999,49.308540000000001,-123.15232750000001,-123.15260000000001,-123.15205,-123.15233000000001,61.273419999999994,59.745519999999992,62.986519999999999,61.180819999999997,53.350000000000001,51.799999999999997,54.899999999999999,53.349999999999994,419.03905374999999,418.13326999999998,419.76929000000001,419.10008499999998,8
106,489155.364209,489405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
107,489405.364209,489655.364209,5461531.70845,5461781.70845,3077,3073,3082,3077.5,49.308521999999996,49.308369999999996,49.308669999999999,49.308520000000001,-123.14264600000001,-123.14284000000001,-123.14242,-123.14266000000001,38.247503999999999,34.48424,41.707039999999999,38.29936,43,42.100000000000001,44.299999999999997,42.799999999999997,482.62027599999993,469.89339999999999,492.12288999999998,482.87519999999995,10
108,489655.364209,489905.364209,5461531.70845,5461781.70845,3062,3053,3072,3062.5,49.308363999999997,49.308230000000002,49.308639999999997,49.308310000000006,-123.14173099999998,-123.14229,-123.14133,-123.141685,37.280759999999994,31.076560000000001,43.318280000000001,37.678939999999997,39.530000000000001,38.700000000000003,41.399999999999999,39.100000000000001,469.64927000000006,457.62173000000001,489.95456000000001,468.72578499999997,20
109,489905.364209,490155.364209,5461531.70845,5461781.70845,2882,2854,2910,2882,49.307290000000016,49.306449999999998,49.308579999999999,49.30706,-123.13606035087723,-123.13651000000002,-123.13573,-123.13607,32.987369122807017,9.5933600000000006,52.893120000000003,37.799320000000002,8.9280701754385916,5.4000000000000004,12.699999999999999,8.1999999999999993,475.68510947368412,444.59701999999999,506.42633000000001,475.16135000000003,57
110,490155.364209,490405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
111,490405.364209,490655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
112,490655.364209,490905.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
113,490905.364209,491155.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
114,491155.364209,491405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
115,491405.364209,491655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
116,491655.364209,491905.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
117,491905.364209,492155.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
118,492155.364209,492405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
119,492405.364209,492655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
120,492655.364209,492905.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
121,492905.364209,493155.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
122,493155.364209,493405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
123,493405.364209,493655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
124,493655.364209,493905.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
125,493905.364209,494155.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
126,494155.364209,494405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
127,494405.364209,494655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
128,494655.364209,494905.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
129,494905.364209,495155.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
130,495155.364209,495405.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
131,495405.364209,495655.364209,5461531.70845,5461781.70845,,,,,,,,,,,,,,,,,,,,,,,,,
132,487405.364209,487655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
133,487655.364209,487905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
134,487905.364209,488155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
135,488155.364209,488405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
136,488405.364209,488655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
137,488655.364209,488905.364209,5461281.70845,5461531.70845,185,168,202,185,49.305340285714294,49.304299999999998,49.306330000000003,49.305349999999997,-123.15366457142861,-123.15378,-123.15355,-123.15367999999999,45.166575999999999,38.947560000000003,50.670720000000003,47.374160000000003,42.368571428571421,39,45.5,42.299999999999997,437.21915371428577,427.92081000000002,457.95116999999999,435.86581000000001,35
138,488905.364209,489155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
139,489155.364209,489405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
140,489405.364209,489655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
141,489655.364209,489905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
142,489905.364209,490155.364209,5461281.70845,5461531.70845,2835,2817,2853,2835,49.305507297297282,49.30433,49.306379999999997,49.305630000000001,-123.13658513513515,-123.13686,-123.13616,-123.13663,48.89129837837838,32.372959999999999,62.930959999999999,49.207640000000012,14.286486486486487,12.9,19.5,13.4,447.89077135135142,404.04079999999999,471.08609000000001,458.56637999999998,37
143,490155.364209,490405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
144,490405.364209,490655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
145,490655.364209,490905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
146,490905.364209,491155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
147,491155.364209,491405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
148,491405.364209,491655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
149,491655.364209,491905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
150,491905.364209,492155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
151,492155.364209,492405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
152,492405.364209,492655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
153,492655.364209,492905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
154,492905.364209,493155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
155,493155.364209,493405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
156,493405.364209,493655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
157,493655.364209,493905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
158,493905.364209,494155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
159,494155.364209,494405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
160,494405.364209,494655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
161,494655.364209,494905.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
162,494905.364209,495155.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
163,495155.364209,495405.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
164,495405.364209,495655.364209,5461281.70845,5461531.70845,,,,,,,,,,,,,,,,,,,,,,,,,
165,487405.364209,487655.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
166,487655.364209,487905.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
167,487905.364209,488155.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
168,488155.364209,488405.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
169,488405.364209,488655.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
170,488655.364209,488905.364209,5461031.70845,5461281.70845,221,203,239,221,49.303051351351336,49.301960000000001,49.304160000000003,49.303069999999998,-123.15346594594592,-123.15378,-123.15335,-123.15343,48.751647567567559,46.003680000000003,54.485840000000003,47.781599999999997,34.270270270270274,28.399999999999999,38.600000000000001,34.600000000000001,427.60544567567575,419.76285000000001,434.69211000000001,427.74642999999998,37
171,488905.364209,489155.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
172,489155.364209,489405.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
173,489405.364209,489655.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
174,489655.364209,489905.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
175,489905.364209,490155.364209,5461031.70845,5461281.70845,2800,2784,2816,2800,49.303031212121205,49.301960000000001,49.304180000000002,49.30301,-123.13576939393944,-123.1361,-123.13561,-123.13571,50.821685454545452,39.818000000000005,59.41216,52.393079999999998,22.460606060606061,19.699999999999999,24.600000000000001,23,433.94445999999999,407.10843,482.16485999999998,432.33096,33
176,490155.364209,490405.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
177,490405.364209,490655.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
178,490655.364209,490905.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
179,490905.364209,491155.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
180,491155.364209,491405.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
181,491405.364209,491655.364209,5461031.70845,5461281.70845,,,,,,,,,,,,,,,,,,,,,,,,,
